chrom	start	end	dendritic_meth	dendritic_depth	endothelial_meth	endothelial_depth	eosinophil_meth	eosinophil_depth	erythroblast_meth	erythroblast_depth	macrophage_meth	macrophage_depth	monocyte_meth	monocyte_depth	neutrophil_meth	neutrophil_depth	placenta_meth	placenta_depth	tcell_meth	tcell_depth	adipose_meth	adipose_depth	brain_meth	brain_depth	fibroblast_meth	fibroblast_depth	heart_meth	heart_depth	hepatocyte_meth	hepatocyte_depth	lung_meth	lung_depth	mammary_meth	mammary_depth	megakaryocyte_meth	megakaryocyte_depth	skeletal_meth	skeletal_depth	small_intestine_meth	small_intestine_depth
chr1	21265950	21266451	474.004	539	11.987	154	532.031	597	227.973	459	374.014	440	571.979	647	522.003	634	174	250	595.018	631	587.77	763	125.9994	136	371.97	395	850.51	1238	1847.88	2368	510.3	703	249.0006	280	85.989	247	437.27	472	268.19	319
chr1	21691362	21691863	68.996	86	27	30	103.011	182	103.001	111	49.997	72	89.98	145	147.014	206	60	82	97.984	104	307.35	399	109.9995	115	258.88	290	517.64	534	236.35	256	242.48	346	109.0001	147	76.999	81	181.77	241	254.96	263
chr1	21780000	21780501	125.995	141	69.994	89	247.003	330	251.021	299	160.001	173	365.027	494	719.02	905	136	164	304.025	373	809.78	991	195.0008	223	467.95	526	1009.48	1214	845.31	903	766.69	909	246.0004	256	103.003	111	540.76	583	456.19	531
chr1	23824559	23825060	43.012	168	7.005	80	52.018	478	56.989	252	30.997	135	86.982	670	113.914	932	12	236	92.014	482	104.59	1093	30	229	18.29	668	106.4	1732	28.01	2655	93.1	1019	45.9998	342	28.009	73	22.27	628	40.6	619
chr1	24389802	24390303	135.996	159	8.995	38	183.969	212	40.002	45	124.982	148	221.007	241	351.912	384	49	89	182.026	197	438.39	505	82.0005	93	181.56	244	525.81	608	392.07	709	317.59	433	74.9997	109	40.988	51	229.74	262	166.96	211
chr1	25562936	25563437	273.996	301	300.012	342	419.97	467	245.026	283	353.05	372	416.029	448	700.049	758	193	215	21.006	257	653.47	757	131.0005	157	340.77	408	858.3	976	1606.57	1793	684.93	834	174.9985	203	197.97	225	291.2	376	275.37	396
chr1	25676086	25676587	235.978	413	287.009	352	460.063	530	388.959	486	371.99	424	508.956	580	690.083	808	177	250	6.011	557	514.98	723	86.0001	117	189.07	246	814.69	1131	1463.35	2162	596.98	770	125.9998	222	471.939	522	128.91	321	236.21	406
chr1	27275298	27275799	152.016	315	462.007	472	233.001	382	393.075	419	121.03	325	122.964	298	51.035	595	142	163	441.989	456	354.39	514	92.0002	129	312.27	362	847.84	907	387.4	427	372.47	508	138.9996	183	329.033	346	237.91	248	280.93	297
chr1	27640497	27640998	279.025	375	463.01	498	490.138	544	435.078	501	267.995	422	283.95	515	815.871	977	196	239	716.922	752	611.71	684	94.0004	110	390.53	509	1004.21	1083	589.4	695	663.7	784	174.9995	220	360.01	395	237.12	297	299.02	361
chr1	27733491	27733992	251.002	271	200.001	208	348.013	371	251.031	274	195.004	203	391.03	422	372.962	639	133	148	343.007	352	736.56	827	154.9989	168	410.04	419	1096.11	1131	594.26	815	694.05	768	154.9996	173	156.016	166	392.09	403	456.05	465
chr1	27796506	27797007	317.02	334	273.951	290	265.978	342	314.006	342	219.975	231	379.018	406	326.973	481	147	166	336.013	355	414.84	490	123.0009	132	205.19	213	612.99	649	544.85	573	362.54	428	210.0029	231	249.034	268	247.29	261	209.01	225
chr1	30980871	30981372	406.987	415	329.968	347	337.961	398	384.006	396	305.007	315	398.024	413	438.036	819	131	172	482.947	491	668.26	770	156.9991	169	323.77	363	1060.28	1224	1341.59	1394	695.17	783	148.0002	164	296.046	311	206.24	422	382.2	404
chr1	31775933	31776434	398.923	580	493.984	583	384.953	515	425.038	556	435.022	541	425.021	471	682.051	762	156	225	531.978	601	443.24	489	111	133	173.97	216	859	952	1694.1	1886	541.3	614	159.0007	208	418.963	486	217.75	260	218.14	250
chr1	32252595	32253096	570.966	622	609.954	647	456.071	493	464.922	589	507.039	531	393.016	411	724.032	786	128	209	24.005	530	316.05	398	52.0001	64	131.2	167	630.64	776	1548.86	1675	423.97	537	88.0003	116	500.954	554	166.96	232	152.13	224
chr1	33338718	33339219	112.07	631	166.982	473	41.99	562	543.996	670	22.005	469	39.977	681	9.967	955	13	249	742.093	777	59.42	778	4.9995	94	23.93	318	113.77	1224	197.03	1708	110.74	876	2	165	594.966	678	45.1	305	80.17	420
chr1	35911832	35912333	862.005	952	1569.009	1615	243.952	785	816.07	893	684.968	740	668.038	723	1093.042	1236	287	348	1012.07	1040	931.01	1011	642.0013	704	549.85	575	1981.59	2066	2129.32	2253	1266.55	1343	357.0025	378	908.98	1019	606.91	621	504.08	518
chr1	36273063	36273564	160.998	171	166.019	189	236.02	272	59.98	94	226.976	231	283.021	292	714.907	737	74	123	351.986	362	467.35	603	139.0009	152	297.92	322	431.28	841	1003.72	1181	508.59	569	184.0002	187	92.994	105	260.88	337	283.89	325
chr1	36347217	36347718	986.022	1011	981.923	1024	753.017	896	704.043	826	804.953	827	740.025	756	1315.986	1364	290	376	987.954	1019	959.17	1005	192.0012	204	632	660	1723.51	1785	2452.45	2572	1025.97	1073	290.0029	306	665.074	750	390.23	405	499.81	520
chr1	37823153	37823654	48.997	127	100.994	115	289.005	304	176.021	201	33.996	108	354.974	366	505.984	539	89	99	248.001	271	479.2	509	73.9998	100	233.66	314	712.62	754	631.97	661	410.04	437	112.0005	140	167	179	265.97	298	246.28	268
chr1	38843917	38844418	413.019	439	309.006	321	97.008	302	350.984	372	377.034	396	385.039	395	300.975	783	83	171	504.034	516	785.04	997	162.9987	178	276.54	300	1302.71	1423	1068.38	1121	844.52	1027	280.9989	311	286.996	301	412.01	468	581.17	619
chr1	40073109	40073610	30.004	40	70.005	73	21.945	202	110.009	118	61.005	100	92.998	252	48.032	350	81	90	173.019	182	390.98	585	200.0013	219	347.33	361	510.46	578	841.66	893	230.85	329	188.9996	192	83.006	98	239.28	267	247.13	266
chr1	40599930	40600431	0	5	4	4	34.988	39	4	4	0	7	1.008	38	45.992	48	8	12	20.002	23	128.06	143	69.0001	83	50.06	68	138.11	154	53.76	60	73.94	99	27	27	7	7	65.99	69	63.88	69
chr1	41641411	41641912	25	70	77.997	82	172.006	182	28.015	59	98.992	127	191.009	202	249.989	275	63	95	60.001	157	291.13	306	82	84	151.9	154	438.49	464	630.49	672	327.22	354	83.9993	96	44.999	57	193.04	201	129.15	156
chr1	42373442	42373943	620.999	667	425.983	508	172.997	672	543.048	618	524.017	553	539.995	559	979.089	1057	212	259	712.008	751	960.82	1063	297.0018	316	234.92	369	1386.2	1505	214.24	272	916.35	991	318.0006	434	507.007	567	399.94	471	472.05	506
chr1	43856069	43856570	337.97	348	471.986	488	58.002	402	293.952	340	375.974	384	652.026	662	1091.984	1116	174	258	714.08	734	1684	1750	368.0034	392	604.32	628	2194.64	2272	1644.06	1698	1696.26	1768	332.0012	364	314.004	334	878.46	914	783.92	824
chr1	43856078	43856579	337.97	348	471.986	488	58.002	402	293.952	340	375.974	384	652.026	662	1091.984	1116	174	258	714.08	734	1684	1750	368.0034	392	604.32	628	2194.64	2272	1644.06	1698	1696.26	1768	332.0012	364	314.004	334	878.46	914	783.92	824
chr1	45886148	45886649	11	11	19.997	22	19	70	12	14	14.999	16	43	57	53.006	95	23	26	33.996	43	306.91	402	139.999	152	142.33	174	452.1	486	80.48	142	194.79	253	114.0016	121	21	22	129.99	135	87.83	201
chr1	46593984	46594485	130.052	451	381.999	396	127.062	450	314.005	343	23.995	383	80.001	366	320.005	887	177	194	673.02	697	722.58	954	159.9973	222	468.5	479	1390.98	1517	1077.26	1135	798.1	1057	215.0005	233	201.003	232	392.14	406	505.42	544
chr1	49283280	49283781	112.987	124	92.997	107	264.992	296	45.996	58	115.992	130	308.012	318	276.028	309	93	153	189.008	202	504.23	550	110.0011	124	186.97	402	709.74	805	74.81	98	605.26	656	97.0021	161	58.999	66	470.97	546	257.89	306
chr1	55195383	55195884	4.002	27	68	69	57.976	91	51.013	55	0	0	0.99	129	3.024	265	33	48	136.011	145	201.09	367	27.0005	37	121.14	122	421.99	440	291.18	300	158.15	329	59.9992	72	31.995	33	109.09	111	186.02	191
chr1	55369424	55369925	256.048	293	169.995	197	268.02	342	107.015	123	217.009	248	439.949	487	684.034	791	67	162	374.041	405	740.36	842	193.0061	221	20.98	340	846.58	1069	1088.55	1604	684.51	816	101	259	41.001	54	336.03	467	380.7	464
chr1	59145316	59145817	183.999	190	162.002	170	324.006	341	85.998	89	126	128	338.99	351	506.999	515	204	239	243.005	255	400.25	416	316.0031	328	577.86	598	416.38	472	485.35	496	320.12	340	283.9991	294	42	44	283.96	289	175.05	202
chr1	61236487	61236988	25.999	29	11	11	24.003	42	29	29	36.999	39	75.989	80	160.966	173	24	40	70.011	74	294.68	309	146.0003	162	127.09	134	332.73	353	252.91	282	211.25	226	56.9987	60	6	10	109.99	125	143.95	157
chr1	61271749	61272250	140.998	147	10.001	43	155.019	230	68.002	78	128.001	129	252	257	515.025	530	54	94	255.98	282	764.02	843	505.992	606	485.69	512	1062.72	1145	816.79	847	698.69	757	277.0032	289	63	64	388.58	438	375.09	458
chr1	61777384	61777885	239.022	251	177.036	195	169.974	228	194.986	225	189.008	202	209.018	221	469.03	494	68	103	301.976	321	543.43	586	131.0003	140	148.98	173	735.82	810	361.76	416	490.07	563	147.0006	161	134.002	150	178.28	216	278.19	311
chr1	62217306	62217807	269.996	339	392.024	424	386.007	403	284.996	317	241	349	220.973	302	583.044	622	129	140	437.987	462	507.25	563	407.9948	465	339.1	375	687.76	708	443	518	368.07	417	268.9989	281	361.06	396	447.1	476	198.04	203
chr1	64871106	64871607	233.003	260	0	69	417.057	461	195.992	217	200.998	224	362.041	413	542.015	856	95	184	395.016	409	622.29	769	208.0013	229	386.97	408	972.04	1068	1289.01	1356	669.67	761	218.0004	232	187.983	196	378	388	466.79	485
chr1	65049788	65050289	510	553	577.937	602	517.998	554	606.133	642	466.02	486	357.019	373	651.975	680	124	177	56.979	455	762.66	810	141.9982	154	350.74	377	1293.61	1365	1428.92	1496	806.4	948	194	212	585.977	603	370.29	410	373.72	420
chr1	65148177	65148678	0	1985	1	2116	0.992	1838	5.997	2208	1.008	1602	2	2196	10.965	1886	10	1138	7	2214	2.89	1030	0	234	0	336	9.34	1691	39.98	3273	8.11	1019	1	367	1.986	1700	6.05	633	3	381
chr1	65249002	65249503	31.029	155	155.009	164	140.987	161	214.964	225	0.992	129	2.984	207	149	333	75	99	240.025	244	182.13	262	25.9999	30	56.04	59	438.12	469	479.67	506	243.9	334	103	108	221.967	228	91.94	96	96.07	111
chr1	66394966	66395467	13.004	22	53.996	77	29.979	106	21	30	9.999	23	27.98	176	0.99	226	28	62	124.988	146	155.18	315	70.9994	92	82.18	103	264.42	368	354.66	619	134.96	262	50.9993	90	46.008	55	86.07	120	89.07	123
chr1	76112469	76112970	1284.055	1342	1025.018	1084	997.985	1034	1310.957	1397	1088.939	1154	1025.05	1052	1416.057	1483	440	555	1026.004	1089	723.02	737	125	132	385.28	434	1337.11	1390	3758.06	4246	969.86	1009	408.0013	437	1416.969	1511	442.17	463	300.06	313
chr1	85338972	85339473	158.001	165	14	34	239.969	269	92.999	108	121.009	134	274.023	292	576.098	604	59	78	248.01	258	841.42	1107	221.0026	292	435.39	580	854.89	1270	411.34	637	731.24	845	237.0025	318	66	74	319.43	422	288.75	492
chr1	86461474	86461975	171.992	175	97.002	102	79.966	204	55.988	107	174.036	180	194.988	196	356.942	375	56	78	207.992	241	242.22	295	59.9989	65	165.04	177	239.01	419	199.73	478	230.76	266	96.9994	103	85.975	101	180.08	186	80.98	151
chr1	89064932	89065433	39.002	47	0	0	11.011	142	39	51	0	58	7.008	187	6.006	117	6	46	0	31	8.08	537	26.9988	136	0	249	207.62	694	4.44	638	10.26	421	0	154	33.003	45	5.95	238	9.18	273
chr1	89902211	89902712	504.074	528	339.988	428	444.961	462	240.997	462	366.993	384	455.977	467	743.006	779	78	101	560.959	578	741.03	766	176.9983	184	339.65	355	1078.78	1217	190.93	1101	796.94	824	278.998	295	94.968	242	302.11	308	144.07	381
chr1	90959994	90960495	583.962	632	537.013	567	200.987	314	551.029	590	411.065	431	339.008	357	259.972	666	150	185	451.982	490	660.69	849	80.9999	88	362.82	374	1181	1273	677.13	729	830.2	984	129.0022	138	570.963	588	385.03	407	386.09	431
chr1	92315649	92316150	148.019	161	127.014	128	165.012	173	83.987	93	144	146	198.077	206	334.017	344	53	55	41.984	212	402.93	414	42	44	167	175	614.15	645	413.78	431	427.93	454	65.0007	74	44.002	49	212.55	223	186.1	223
chr1	92316015	92316516	74.998	159	129	156	99.999	169	109.998	184	89.016	140	113.019	199	192.018	337	37	45	0	210	203.94	313	46.0008	65	157.06	192	271.93	418	483.76	587	177.86	247	85.0006	95	91.984	136	136.66	196	136.84	198
chr1	93504248	93504749	715.02	752	554.973	590	90.993	360	230.001	403	588.059	635	520.942	555	743.014	902	86	159	609.01	651	746.21	860	514.0082	571	428.33	461	1031.26	1311	1295.61	1434	744.57	959	273.998	295	26.012	127	474.14	494	358.67	417
chr1	94804314	94804815	242.018	262	152.035	161	135.031	221	8.013	207	254.988	270	201.976	212	374.011	420	33	56	331.989	361	239.97	334	27.0005	33	113.14	132	296.12	468	885.05	961	245.38	275	47.0002	54	126.033	148	218.92	248	89.23	132
chr1	96470306	96470807	687.015	709	786.02	833	652.008	675	855.102	952	360.029	370	176.999	193	675.011	711	142	188	520	555	389.64	421	249.0014	271	380.82	442	714.69	747	1402.08	1496	542.53	576	218.9994	237	610.958	656	341.21	376	227.01	240
chr1	96739127	96739628	3	3	17	20	62.981	71	21.993	23	0	0	12.998	44	136.998	148	14	15	74.016	77	344.33	408	421.0052	489	218.43	232	385.53	450	58.78	65	214.93	268	70.9988	78	23	24	167.98	183	162.74	195
chr1	98513231	98513732	203.001	209	668.966	699	523.987	547	725.024	812	427.016	446	347.997	358	542.983	595	48	61	478.034	528	283.2	307	104.0003	113	325.02	354	335.32	363	59269.35	79647	170.04	176	176.9994	184	280.006	308	313.18	346	149.06	169
chr1	108341413	108341914	10.001	11	3	3	55.012	57	3	5	6	6	60	60	79.016	82	7	9	31	31	295.8	330	38.0008	61	35.92	132	356.8	400	169.44	324	192.13	196	45.0004	52	21	21	133.87	150	136.86	148
chr1	111198068	111198569	169.995	194	123.002	128	130.997	133	175.948	202	197.99	220	246.017	252	296.003	303	67	83	6.029	191	275	287	54.9992	56	79.03	94	466.91	504	620.28	654	364.93	412	76.0004	82	183.992	185	138.76	178	115.03	131
chr1	116378101	116378602	67.019	100	0.988	70	85.978	216	139.996	150	17.01	61	47.005	233	165.948	468	59	81	78.98	150	233.98	752	109.0017	328	25.73	314	291.56	883	109.73	750	204.35	582	2.0004	205	84.002	91	107.72	360	44.33	344
chr1	121038355	121038856	273.001	279	159.994	172	251.006	258	171.021	183	193.995	198	275.998	280	206.015	213	96	117	233.028	248	421.17	448	107.0004	113	223.88	423	447.42	487	385.75	467	336.23	356	125.9994	146	231.012	247	292.12	321	167.97	187
chr1	121408207	121408708	0	4	12.001	13	59	100	17	20	0	16	11.985	75	121.014	144	22	23	44.993	50	288.73	332	97.9992	108	161.84	168	406.79	422	298.97	307	233.76	274	80.0015	84	8	8	147.09	150	174.84	188
chr1	121625031	121625532	30.001	31	6.999	13	176.034	228	20.004	25	47.003	50	93.003	109	60.001	71	14	18	48	54	237.09	399	80.9993	131	169.24	516	285.4	437	134.41	248	156.85	233	34.9992	81	7	7	108.26	175	129.08	188
chr1	145874571	145875072	811.94	1068	734.94	783	579.907	1423	1095.978	1171	792.995	1066	531.025	741	809.911	1744	231	291	1128.045	1167	878.42	1077	189.9988	211	379.48	418	1627.78	1736	2908.18	3065	976.9	1157	272.0002	293	1258.905	1313	638.32	674	465.15	505
chr1	146156654	146157155	54	54	14	15	22	24	49.009	53	48.001	49	62	62	68.997	72	20	20	54.005	58	38	38	30.0003	31	14	14	62.05	63	0	0	33	33	26.0001	27	54	59	63.93	68	0	1
chr1	146370789	146371290	93.995	101	46.996	53	34.012	131	80.992	93	113.015	124	126.977	139	166.954	258	3	3	151.992	157	180.36	257	71.9995	84	125.01	134	316.55	342	209.54	226	133.07	179	86.0014	91	83.008	88	183.92	194	104.12	117
chr1	147286245	147286746	410.008	480	244.02	250	1.984	328	461.996	494	272.018	308	633.94	742	318.01	708	160	194	566.026	574	583.84	746	97.9998	120	348.22	362	1254	1334	2839.76	2988	716.5	872	220.0008	232	362.032	380	447.7	474	337.96	364
chr1	147286253	147286754	410.008	480	244.02	250	1.984	328	461.996	494	272.018	308	633.94	742	318.01	708	160	194	566.026	574	583.84	746	97.9998	120	348.22	362	1254	1334	2839.76	2988	716.5	872	220.0008	232	362.032	380	447.7	474	337.96	364
chr1	148149243	148149744	715.021	759	412.011	602	1051.019	1103	599.992	633	659.997	684	1546.028	1590	1058.951	1105	56	58	831.983	877	1483.75	1666	570.9998	605	836.04	908	2913.49	3323	4621.22	5040	2425.5	2606	717.9983	761	1027.064	1107	824.02	894	948.27	984
chr1	151057249	151057750	346.983	407	357.028	406	515.964	612	478.98	576	475.003	537	615.948	722	1266.122	1411	127	202	101.976	600	708.79	816	141.9994	169	296.25	329	1104.89	1252	945.32	1110	682.62	814	259.0006	313	348.999	396	237.1	268	285.25	413
chr1	152037781	152038282	304.993	424	375	392	456.978	736	892.004	974	319.038	426	679.053	995	361.971	897	208	290	747.947	784	986.45	1230	274.9999	306	635.1	675	1519.57	1589	1013.77	1184	823.1	1026	404.0005	423	701.94	744	604.57	615	433.16	502
chr1	154610462	154610963	1302.096	1449	900.063	924	1058.976	1299	1671.006	1755	1002.042	1110	1383.021	1407	1194.03	2148	384	399	1589.973	1647	2036.58	2493	410.997	456	992.82	1032	3289.95	3441	3194.76	3438	2049.69	2373	612.0015	744	1338.003	1395	1460.94	1497	1275.72	1326
chr1	154610473	154610974	1302.096	1449	900.063	924	1058.976	1299	1671.006	1755	1002.042	1110	1383.021	1407	1194.03	2148	384	399	1589.973	1647	2036.58	2493	410.997	456	992.82	1032	3289.95	3441	3194.76	3438	2049.69	2373	612.0015	744	1338.003	1395	1460.94	1497	1275.72	1326
chr1	154610490	154610991	1302.096	1449	904.063	928	1060.974	1336	1674.006	1758	1002.042	1110	1401.017	1432	1194.03	2167	392	407	1601.973	1660	2134.66	2639	511.9945	573	1032.72	1087	3442.44	3612	3259.57	3506	2109.79	2462	647.0023	796	1338.003	1395	1501.94	1540	1345.56	1404
chr1	154790921	154791422	76.975	178	105.002	119	145.03	280	108.006	193	109.013	264	207.979	393	233.023	488	63	115	34.992	398	404.64	546	120.0004	140	311.3	368	584.89	794	865.76	1062	404.24	615	218	234	125.988	196	205.79	269	152.9	331
chr1	155005509	155006010	74.995	288	11.007	131	92.997	431	302.976	380	38.005	273	35.024	582	50.966	461	120	167	286.983	338	132.16	370	16	84	25	122	324.41	776	91.69	2323	134	487	0	159	175.987	223	28.23	202	46.02	256
chr1	155232632	155233133	55.001	59	5	31	143.997	195	37.996	43	90.01	103	429	476	156.005	169	33	40	88	89	260.01	343	31.0009	91	137.19	209	452.93	586	144.77	150	376.71	478	93.0002	108	25	25	250.05	296	152.16	179
chr1	156996722	156997223	219.043	232	85.003	89	188.01	225	246.034	281	186.005	191	130.005	136	473.036	546	23	56	286.977	308	297.09	318	67.0003	68	144.93	150	479.63	514	197.02	255	314.78	339	86.0009	96	199.987	221	140.98	142	151.96	183
chr1	158742013	158742514	129.012	135	300.022	335	283.008	309	590.006	623	260.03	269	62.005	74	1126.001	1193	46	105	135.989	155	647.99	826	149.0027	239	202.83	465	478.45	848	559.39	847	672.84	816	72.9997	164	541.999	556	55.72	200	290.67	373
